,ricebought,cleanyard,housetype,nearstable,own_hhappliance,housesqm,own_vehicles,own_receivables,outerwall,numroom,own_jewelry,floor,ipercap,own_fininstrument_7,own_fininstrument_14
0,30.0,1.0,1.0,1.0,1.0,42.0,3.0,3.0,2.0,4.0,3.0,3.0,1100000.0,3.0,3.0
1,15.0,1.0,1.0,1.0,1.0,20.0,3.0,3.0,2.0,2.0,1.0,6.0,820000.0,3.0,1.0
2,0.0,3.0,6.0,3.0,3.0,12.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,3.0,3.0
3,10.5,1.0,1.0,1.0,3.0,25.0,3.0,3.0,2.0,3.0,3.0,6.0,832000.0,3.0,3.0
4,22.5,1.0,1.0,1.0,1.0,45.0,3.0,3.0,2.0,4.0,1.0,3.0,375000.0,3.0,3.0
5,0.0,1.0,1.0,3.0,1.0,40.0,1.0,3.0,2.0,4.0,3.0,6.0,1113333.3333333333,3.0,3.0
6,4.0,3.0,5.0,3.0,3.0,50.0,1.0,3.0,1.0,3.0,3.0,3.0,317777.77777777775,3.0,3.0
8,10.0,3.0,3.0,3.0,3.0,135.0,3.0,3.0,1.0,6.0,3.0,3.0,456000.0,3.0,3.0
9,6.0,1.0,1.0,3.0,1.0,120.0,3.0,3.0,1.0,6.0,3.0,3.0,153600.0,3.0,3.0
11,10.0,3.0,1.0,3.0,3.0,30.0,3.0,3.0,2.0,4.0,3.0,4.0,800000.0,3.0,3.0
15,30.0,3.0,1.0,3.0,1.0,120.0,1.0,3.0,1.0,5.0,3.0,3.0,3045000.0,3.0,3.0
16,0.0,3.0,1.0,3.0,3.0,70.0,3.0,3.0,1.0,6.0,3.0,3.0,600000.0,3.0,3.0
18,14.0,3.0,5.0,3.0,1.0,210.0,3.0,1.0,1.0,5.0,3.0,3.0,733333.3333333334,1.0,3.0
19,100.0,1.0,1.0,3.0,1.0,60.0,3.0,3.0,1.0,5.0,1.0,3.0,3432000.0,3.0,3.0
20,10.0,3.0,1.0,3.0,3.0,16.0,3.0,3.0,3.0,3.0,3.0,6.0,1200000.0,3.0,3.0
21,0.0,1.0,1.0,1.0,3.0,40.0,3.0,3.0,1.0,4.0,3.0,3.0,277714.28571428574,3.0,3.0
